Protein,Protein ID,Entry Name,Gene,CTRL-1,CTRL-2,CTRL-3,PTX3-1,PTX3-2,PTX3-3,mean c,mean ptx3,FC,log2FC,P.value,Sig
sp|P16278|BGAL_HUMAN,P16278,BGAL_HUMAN,GLB1,0.496893574,0.306827589,0.619469221,0.653507821,0.069588305,0.834524692,0.474396795,0.519206939,1.094457098,0.130215403,0.865440058,not significant
sp|P16333|NCK1_HUMAN,P16333,NCK1_HUMAN,NCK1,9.832277204,9.050395914,0.51161686,1.629999765,0.918274606,0.489109183,6.464763326,1.012461185,0.156612258,-2.674730955,0.143667008,not significant
sp|P16383|GCFC2_HUMAN,P16383,GCFC2_HUMAN,GCFC2,0.366106533,0.329756237,0.278201515,0.395513066,0.08117656,0.000264092,0.324688095,0.158984573,0.489653224,-1.03016771,0.249877215,not significant
sp|P16401|H15_HUMAN,P16401,H15_HUMAN,H1-5,232.0986247,189.8119805,180.8127249,222.5908698,243.2926618,184.6934464,200.9077767,216.8589927,1.079395712,0.110223861,0.531720409,not significant
sp|P16402|H13_HUMAN,P16402,H13_HUMAN,H1-3,7.697222319,4.459339751,4.895379701,5.331279859,6.104574817,5.889703519,5.68398059,5.775186065,1.016046057,0.0229658,0.934351366,not significant
sp|P16403|H12_HUMAN,P16403,H12_HUMAN,H1-2,0.000249487,11.4883117,12.92667899,13.61312325,18.41221023,18.68787543,8.138413392,16.90440297,2.077112842,1.054579595,0.117726641,not significant
sp|P16435|NCPR_HUMAN,P16435,NCPR_HUMAN,POR,0.515393962,0.567430398,0.282660072,0.643711736,0.25101768,0.395194641,0.455161477,0.429974686,0.944664052,-0.082126735,0.86990185,not significant
sp|P16455|MGMT_HUMAN,P16455,MGMT_HUMAN,MGMT,0.765608444,0.980193511,0.65561256,1.098176669,1.13602145,0.794568643,0.800471505,1.009588921,1.261242798,0.334846031,0.220316641,not significant
sp|P16602|ATI_COWPX,P16602,ATI_COWPX,ATI,0.000249487,0.000241214,0.000253648,0.000258488,0.000256791,0.41205507,0.000248116,0.13752345,554.2700387,9.114445214,0.373871182,not significant
sp|P16615|AT2A2_HUMAN,P16615,AT2A2_HUMAN,ATP2A2,40.56829778,23.87760726,26.64798707,22.26877234,17.66546718,32.71666873,30.3646307,24.21696942,0.797538743,-0.32637349,0.418258004,not significant
sp|P16949|STMN1_HUMAN,P16949,STMN1_HUMAN,STMN1,151.4789965,122.448686,90.33653141,151.2971472,166.637579,132.4966918,121.4214046,150.143806,1.236551384,0.306322192,0.228691046,not significant
sp|P16989|YBOX3_HUMAN,P16989,YBOX3_HUMAN,YBX3,15.40757034,12.02280187,12.02382919,16.83437764,18.05823773,15.75679108,13.15140047,16.88313548,1.283751911,0.360366424,0.046398931,not significant
sp|P17028|ZNF24_HUMAN,P17028,ZNF24_HUMAN,ZNF24,0.232079255,0.222321841,0.124777272,0.291554535,0.302092462,0.170631418,0.193059456,0.254759472,1.319590747,0.400090566,0.319562469,not significant
sp|P17050|NAGAB_HUMAN,P17050,NAGAB_HUMAN,NAGA,3.447457083,2.963228418,1.011158424,4.166198743,4.486518272,2.223201146,2.473947975,3.625306054,1.465393004,0.551287633,0.324959764,not significant
sp|P17096|HMGA1_HUMAN,P17096,HMGA1_HUMAN,HMGA1,126.9811236,123.309763,115.9753633,146.9513268,160.7744662,172.5290867,122.08875,160.0849599,1.311217946,0.390907505,0.009245944,not significant
sp|P17152|TMM11_HUMAN,P17152,TMM11_HUMAN,TMEM11,0.000249487,0.225709277,0.534918022,0.181372425,0.000256791,0.000264092,0.253625595,0.060631103,0.239057508,-2.064570381,0.310428424,not significant
sp|P17174|AATC_HUMAN,P17174,AATC_HUMAN,GOT1,9.626178411,15.06427986,15.71218914,14.93981634,13.37317678,18.11172894,13.46754914,15.47490735,1.149051486,0.200443443,0.446560897,not significant
sp|P17275|JUNB_HUMAN,P17275,JUNB_HUMAN,JUNB,0.000249487,0.000241214,0.000253648,0.066205067,0.000256791,0.000264092,0.000248116,0.022241983,89.64336622,6.48612492,0.373660317,not significant
sp|P17301|ITA2_HUMAN,P17301,ITA2_HUMAN,ITGA2,0.109934804,0.195880191,0.173263896,0.189515246,0.196469841,0.244184077,0.159692964,0.210056388,1.315376603,0.395475913,0.178815396,not significant
sp|P17480|UBF1_HUMAN,P17480,UBF1_HUMAN,UBTF,6.467440009,6.803436822,6.907846307,6.203795474,7.022142444,7.580183286,6.726241046,6.935373735,1.03109206,0.044173148,0.645573924,not significant
sp|P17535|JUND_HUMAN,P17535,JUND_HUMAN,JUND,0.650809468,0.873459546,0.44903048,0.938546422,1.757889253,1.120515408,0.657766498,1.272317028,1.934298921,0.951810762,0.090752962,not significant
sp|P17544|ATF7_HUMAN,P17544,ATF7_HUMAN,ATF7,0.313332359,0.15400491,0.176568628,0.109190799,0.147877618,0.035237891,0.214635299,0.097435436,0.453958116,-1.139368899,0.12132602,not significant
sp|P17568|NDUB7_HUMAN,P17568,NDUB7_HUMAN,NDUFB7,1.655897699,1.751088943,1.206564175,0.736834086,1.474003557,0.382470468,1.537850272,0.864436037,0.562106762,-0.831083925,0.136926325,not significant
